P1,P2,OBC,Comms
0.0,0.068,0.35,0.0
0.015,0.097,0.525,0.0
0.0,0.0,0.407,0.0
0.0,0.015,0.343,0.0
0.038,0.1,0.412,0.002
0.0,0.035,0.405,0.0
0.005,0.06,0.512,0.015
0.002,0.04,0.403,0.0
0.0,0.027,0.447,0.0
0.0,0.052,0.415,0.0
0.025,0.08,0.355,0.018
0.0,0.0,0.567,0.055
0.018,0.015,0.36,0.002
0.0,0.052,0.355,0.0
0.0,0.025,0.435,0.0
0.0,0.115,0.395,0.018
0.0,0.072,0.412,0.0
0.0,0.043,0.42,0.0
0.0,0.1,0.355,0.0
0.0,0.015,0.45,0.0
0.07,0.065,0.48,0.0
0.08,0.045,0.585,0.0
0.035,0.07,0.435,0.0
0.005,0.045,0.385,0.0
0.0,0.052,0.407,0.0
0.0,0.043,0.403,0.0
0.0,0.0,0.345,0.0
0.013,0.085,0.417,0.0
0.125,0.04,0.477,0.0
0.0,0.002,0.43,0.0
0.05,0.035,0.618,0.0
0.05,0.055,0.38,0.0
0.0,0.0,0.4,0.0
0.0,0.035,0.377,0.0
0.0,0.038,0.4,0.0
0.0,0.038,0.423,0.0
0.0,0.03,0.405,0.0
0.043,0.083,0.375,0.0
0.0,0.0,0.452,0.0
0.002,0.038,0.387,0.0
0.0,0.045,0.425,0.0
0.0,0.05,0.403,0.0
0.038,0.115,0.525,0.0
0.0,0.065,0.412,0.0
0.03,0.013,0.41,0.0
0.005,0.01,0.393,0.027
0.0,0.013,0.32,0.0
0.083,0.052,0.41,0.0
0.0,0.055,0.377,0.0
0.032,0.108,0.36,0.0
0.0,0.032,0.385,0.0
0.112,0.0,0.3,0.0
0.0,0.0,0.477,0.0
0.0,0.025,0.368,0.0
0.0,0.013,0.417,0.0
0.0,0.0,0.435,0.0
0.0,0.027,0.385,0.0
0.0,0.02,0.4,0.0
0.18,0.102,0.538,0.0
0.0,0.027,0.428,0.0
0.0,0.07,0.433,0.002
0.0,0.045,0.382,0.0
0.0,0.038,0.425,0.0
0.052,0.08,0.563,0.027
0.0,0.097,0.315,0.0
0.05,0.043,0.538,0.0
0.065,0.072,0.45,0.0
0.0,0.127,0.5,0.018
0.0,0.147,0.395,0.0
0.002,0.05,0.398,0.01
0.0,0.02,0.343,0.025
0.0,0.018,0.548,0.005
0.0,0.102,0.412,0.0
0.0,0.047,0.39,0.0
0.002,0.047,0.375,0.0
0.0,0.0,0.39,0.0
0.002,0.102,0.43,0.0
0.0,0.083,0.45,0.0
0.0,0.108,0.4,0.0
0.055,0.072,0.558,0.0
0.027,0.0,0.255,0.0
0.005,0.117,0.338,0.0
0.0,0.0,0.4,0.0
0.0,0.025,0.395,0.0
0.0,0.015,0.43,0.0
0.0,0.05,0.385,0.0
0.0,0.03,0.41,0.0
0.0,0.0,0.35,0.0
0.068,0.01,0.305,0.0
0.0,0.045,0.575,0.03
0.0,0.047,0.365,0.0
0.0,0.04,0.393,0.0
0.007,0.065,0.41,0.0
0.0,0.043,0.403,0.0
0.0,0.072,0.38,0.0
0.0,0.207,0.51,0.0
0.0,0.027,0.425,0.02
0.0,0.007,0.405,0.0
0.0,0.045,0.382,0.0
0.015,0.09,0.37,0.0
0.0,0.058,0.415,0.0
0.018,0.005,0.377,0.0
0.0,0.04,0.425,0.0
0.02,0.09,0.538,0.0
0.0,0.083,0.45,0.032
0.0,0.04,0.4,0.0
0.0,0.052,0.347,0.0
0.038,0.117,0.627,0.0
0.0,0.0,0.368,0.0
0.0,0.043,0.373,0.0
0.0,0.025,0.375,0.0
0.0,0.007,0.423,0.0
0.01,0.027,0.438,0.0
0.047,0.007,0.447,0.018
0.013,0.043,0.382,0.0
0.043,0.047,0.42,0.0
0.0,0.002,0.458,0.0
0.02,0.002,0.375,0.0
0.01,0.027,0.322,0.112
0.0,0.065,0.355,0.032
0.0,0.068,0.377,0.0
0.0,0.027,0.373,0.0
0.0,0.0,0.458,0.0
0.0,0.058,0.31,0.0
0.0,0.032,0.377,0.0
0.005,0.018,0.363,0.0
0.268,0.105,0.468,0.0
0.023,0.045,0.35,0.0
0.0,0.023,0.398,0.04
0.0,0.0,0.442,0.0
0.0,0.03,0.338,0.03
0.018,0.0,0.387,0.0
0.0,0.047,0.375,0.0
0.03,0.015,0.317,0.0
0.0,0.07,0.433,0.0
0.01,0.093,0.48,0.0
0.0,0.065,0.463,0.0
0.0,0.045,0.38,0.0
0.0,0.06,0.382,0.0
0.0,0.038,0.382,0.0
0.058,0.035,0.327,0.0
0.0,0.032,0.41,0.0
0.0,0.04,0.393,0.0
0.0,0.013,0.477,0.0
0.0,0.125,0.51,0.0
0.0,0.052,0.398,0.0
0.0,0.027,0.355,0.0
0.0,0.023,0.433,0.0
0.0,0.0,0.41,0.005
0.0,0.058,0.42,0.0
0.063,0.183,0.303,0.0
0.0,0.068,0.315,0.0
0.032,0.05,0.4,0.0
0.04,0.027,0.37,0.0
0.0,0.007,0.405,0.0
0.0,0.0,0.28,0.0
0.08,0.045,0.43,0.0
0.0,0.04,0.37,0.0
0.0,0.052,0.5,0.0
0.0,0.0,0.313,0.0
0.015,0.007,0.425,0.0
0.0,0.045,0.38,0.0
0.0,0.05,0.46,0.0
0.015,0.13,0.452,0.0
0.002,0.047,0.423,0.0
0.043,0.02,0.395,0.0
0.015,0.0,0.27,0.027
0.013,0.03,0.42,0.03
0.0,0.045,0.363,0.0
0.007,0.032,0.335,0.0
0.0,0.043,0.435,0.0
0.0,0.047,0.412,0.0
0.0,0.03,0.373,0.0
0.06,0.065,0.403,0.0
0.0,0.175,0.535,0.0
0.0,0.038,0.377,0.0
0.0,0.0,0.35,0.0
0.0,0.1,0.338,0.0
0.0,0.047,0.36,0.0
0.013,0.095,0.335,0.0
0.002,0.013,0.393,0.0
0.0,0.058,0.377,0.007
0.0,0.023,0.403,0.025
0.0,0.04,0.368,0.0
0.047,0.015,0.387,0.013
0.005,0.023,0.373,0.0
0.0,0.03,0.36,0.0
0.0,0.035,0.433,0.023
0.0,0.023,0.368,0.0
0.0,0.0,0.407,0.0
0.0,0.0,0.375,0.0
0.0,0.04,0.382,0.0
0.0,0.027,0.373,0.0
0.108,0.04,0.395,0.0
0.01,0.032,0.368,0.002
0.0,0.03,0.343,0.002
0.0,0.027,0.333,0.01
0.0,0.02,0.442,0.0
0.052,0.027,0.387,0.005
0.0,0.05,0.322,0.013
0.0,0.055,0.29,0.0
0.005,0.095,0.41,0.0
0.0,0.027,0.377,0.0
0.058,0.0,0.393,0.047
0.015,0.015,0.373,0.0
0.0,0.043,0.357,0.0
0.0,0.018,0.38,0.0
0.035,0.087,0.37,0.0
0.0,0.115,0.35,0.0
0.018,0.068,0.42,0.0
0.013,0.0,0.407,0.0
0.0,0.038,0.393,0.0
0.03,0.102,0.445,0.0
0.0,0.015,0.45,0.0
0.0,0.045,0.377,0.0
0.0,0.013,0.455,0.005
0.0,0.078,0.565,0.075
0.005,0.125,0.475,0.0
0.025,0.027,0.385,0.0
0.0,0.05,0.303,0.0
0.093,0.105,0.488,0.0
0.0,0.065,0.39,0.0
