Minutes,Seconds,Milliseconds,Message
0,0,1,OBC Program Starts
0,2,44,Payload 1 turns on
0,2,57,Payload 2 turns on
0,2,68,EPS turns on
0,2,79,ADCS turns on
0,2,89,Comms turns on
0,4,670,0.000 0.068 0.350 0.000>
0,9,239,0.015 0.097 0.525 0.000>
0,10,79,0.000 0.000 0.407 0.000>
0,14,993,~
0,19,609,0.000 0.015 0.343 0.000>
0,24,403,0.038 0.100 0.412 0.002>
0,29,258,~
0,29,971,0.000 0.035 0.405 0.000>
0,34,651,0.005 0.060 0.512 0.015>
0,39,493,0.002 0.040 0.403 0.000>
0,44,216,0.000 0.027 0.447 0.000>
0,44,929,0.000 0.052 0.415 0.000>
0,49,676,0.025 0.080 0.355 0.018>
0,54,376,0.000 0.000 0.567 0.055>
0,59,214,0.018 0.015 0.360 0.002>
1,0,43,0.000 0.052 0.355 0.000>
1,4,788,0.000 0.025 0.435 0.000>
1,9,391,0.000 0.115 0.395 0.018>
1,14,962,0.000 0.072 0.412 0.000>
1,19,705,0.000 0.043 0.420 0.000>
1,24,425,0.000 0.100 0.355 0.000>
1,29,853,0.000 0.015 0.450 0.000>
1,34,758,0.070 0.065 0.480 0.000>
1,39,540,~
1,44,972,0.080 0.045 0.585 0.000>
1,49,823,~
1,54,560,0.035 0.070 0.435 0.000>
1,59,292,0.005 0.045 0.385 0.000>
2,0,117,0.000 0.052 0.407 0.000>
2,4,819,0.000 0.043 0.403 0.000>
2,9,583,0.000 0.000 0.345 0.000>
2,14,329,0.013 0.085 0.417 0.000>
2,15,139,0.125 0.040 0.477 0.000>
2,19,773,0.000 0.002 0.430 0.000>
2,24,486,0.050 0.035 0.618 0.000>
2,29,214,~
2,29,928,0.050 0.055 0.380 0.000>
2,34,734,0.000 0.000 0.400 0.000>
2,39,529,0.000 0.035 0.377 0.000>
2,44,220,0.000 0.038 0.400 0.000>
2,45,28,0.000 0.038 0.423 0.000>
2,49,746,0.000 0.030 0.405 0.000>
2,54,394,0.043 0.083 0.375 0.000>
2,59,243,0.000 0.000 0.452 0.000>
2,59,957,0.002 0.038 0.387 0.000>
3,4,569,~
3,9,443,0.000 0.045 0.425 0.000>
3,10,168,0.000 0.050 0.403 0.000>
3,14,912,0.038 0.115 0.525 0.000>
3,19,610,0.000 0.065 0.412 0.000>
3,24,977,0.030 0.013 0.410 0.000>
3,29,838,0.005 0.010 0.393 0.027>
3,34,505,0.000 0.013 0.320 0.000>
3,39,282,0.083 0.052 0.410 0.000>
3,40,123,0.000 0.055 0.377 0.000>
3,45,24,0.032 0.108 0.360 0.000>
3,49,823,0.000 0.032 0.385 0.000>
3,54,645,0.112 0.000 0.300 0.000>
3,59,522,0.000 0.000 0.477 0.000>
4,4,860,0.000 0.025 0.368 0.000>
4,9,627,0.000 0.013 0.417 0.000>
4,14,345,0.000 0.000 0.435 0.000>
4,15,60,0.000 0.027 0.385 0.000>
4,19,946,0.000 0.020 0.400 0.000>
4,24,564,0.180 0.102 0.538 0.000>
4,29,355,0.000 0.027 0.428 0.000>
4,30,164,0.000 0.070 0.433 0.002>
4,34,221,0.000 0.045 0.382 0.000>
4,35,41,0.000 0.038 0.425 0.000>
4,39,662,0.052 0.080 0.563 0.027>
4,44,471,0.000 0.097 0.315 0.000>
4,49,350,0.050 0.043 0.538 0.000>
4,50,191,0.065 0.072 0.450 0.000>
4,54,224,0.000 0.127 0.500 0.018>
4,54,964,0.000 0.147 0.395 0.000>
4,59,800,0.002 0.050 0.398 0.010>
5,4,664,0.000 0.020 0.343 0.025>
5,9,530,0.000 0.018 0.548 0.005>
5,14,994,~
5,19,678,0.000 0.102 0.412 0.000>
5,24,344,0.000 0.047 0.390 0.000>
5,29,231,0.002 0.047 0.375 0.000>
5,30,58,0.000 0.000 0.390 0.000>
5,34,584,0.002 0.102 0.430 0.000>
5,39,344,0.000 0.083 0.450 0.000>
5,40,181,0.000 0.108 0.400 0.000>
5,44,919,0.055 0.072 0.558 0.000>
5,49,852,0.027 0.000 0.255 0.000>
5,54,724,0.005 0.117 0.338 0.000>
5,59,706,0.000 0.000 0.400 0.000>
6,4,399,0.000 0.025 0.395 0.000>
6,5,124,0.000 0.015 0.430 0.000>
6,9,812,0.000 0.050 0.385 0.000>
6,14,512,0.000 0.030 0.410 0.000>
6,19,418,0.000 0.000 0.350 0.000>
6,24,300,0.068 0.010 0.305 0.000>
6,25,142,0.000 0.045 0.575 0.030>
6,29,838,0.000 0.047 0.365 0.000>
6,34,678,0.000 0.040 0.393 0.000>
6,39,395,~
6,40,123,0.007 0.065 0.410 0.000>
6,44,805,0.000 0.043 0.403 0.000>
6,49,667,0.000 0.072 0.380 0.000>
6,54,230,0.000 0.207 0.510 0.000>
6,55,71,0.000 0.027 0.425 0.020>
6,59,949,0.000 0.007 0.405 0.000>
7,4,644,0.000 0.045 0.382 0.000>
7,9,398,0.015 0.090 0.370 0.000>
7,14,225,0.000 0.058 0.415 0.000>
7,15,33,0.018 0.005 0.377 0.000>
7,19,681,0.000 0.040 0.425 0.000>
7,24,536,0.020 0.090 0.538 0.000>
7,29,441,0.000 0.083 0.450 0.032>
7,30,156,0.000 0.040 0.400 0.000>
7,34,862,0.000 0.052 0.347 0.000>
7,39,703,0.038 0.117 0.627 0.000>
7,44,366,0.000 0.000 0.368 0.000>
7,45,81,0.000 0.043 0.373 0.000>
7,49,898,0.000 0.025 0.375 0.000>
7,54,814,0.000 0.007 0.423 0.000>
7,59,466,0.010 0.027 0.438 0.000>
8,4,302,0.047 0.007 0.447 0.018>
8,5,151,0.013 0.043 0.382 0.000>
8,9,872,0.043 0.047 0.420 0.000>
8,14,521,0.000 0.002 0.458 0.000>
8,19,376,0.020 0.002 0.375 0.000>
8,20,104,~
8,24,819,0.010 0.027 0.322 0.112>
8,29,635,0.000 0.065 0.355 0.032>
8,34,459,0.000 0.068 0.377 0.000>
8,35,198,0.000 0.027 0.373 0.000>
8,39,952,0.000 0.000 0.458 0.000>
8,44,688,0.000 0.058 0.310 0.000>
8,49,292,0.000 0.032 0.377 0.000>
8,50,113,0.005 0.018 0.363 0.000>
8,54,875,0.268 0.105 0.468 0.000>
8,59,677,0.023 0.045 0.350 0.000>
9,4,518,0.000 0.023 0.398 0.040>
9,9,339,~
9,10,68,~
9,14,952,0.000 0.000 0.442 0.000>
9,19,704,0.000 0.030 0.338 0.030>
9,24,420,0.018 0.000 0.387 0.000>
9,29,213,0.000 0.047 0.375 0.000>
9,30,45,0.030 0.015 0.317 0.000>
9,34,714,0.000 0.070 0.433 0.000>
9,39,482,0.010 0.093 0.480 0.000>
9,44,354,0.000 0.065 0.463 0.000>
9,45,175,~
9,49,933,0.000 0.045 0.380 0.000>
9,54,717,0.102 0.045 0.380 0.000<0.102 0.045 0.380 0.000>
9,59,592,0.000 0.060 0.382 0.000>
10,4,925,0.000 0.038 0.382 0.000>
10,9,637,0.058 0.035 0.327 0.000>
10,14,970,0.000 0.032 0.410 0.000>
10,19,598,0.000 0.040 0.393 0.000>
10,24,307,0.000 0.013 0.477 0.000>
10,25,149,0.000 0.125 0.510 0.000>
10,30,12,0.000 0.052 0.398 0.000>
10,34,742,0.000 0.027 0.355 0.000>
10,39,573,0.000 0.023 0.433 0.000>
10,44,398,0.000 0.000 0.410 0.005>
10,49,885,0.000 0.058 0.420 0.000>
10,54,747,0.063 0.183 0.303 0.000>
10,59,654,0.000 0.068 0.315 0.000>
11,4,266,0.032 0.050 0.400 0.000>
11,5,86,0.040 0.027 0.370 0.000>
11,9,965,0.000 0.007 0.405 0.000>
11,14,715,0.000 0.000 0.280 0.000>
11,19,316,0.080 0.045 0.430 0.000>
11,20,136,0.000 0.040 0.370 0.000>
11,24,687,0.000 0.052 0.500 0.000>
11,29,583,0.000 0.000 0.313 0.000>
11,34,453,0.015 0.007 0.425 0.000>
11,35,178,0.000 0.045 0.380 0.000>
11,39,799,0.000 0.050 0.460 0.000>
11,44,459,0.015 0.130 0.452 0.000>
11,45,173,0.002 0.047 0.423 0.000>
11,49,997,0.043 0.020 0.395 0.000>
11,54,872,0.015 0.000 0.270 0.027>
11,59,624,0.013 0.030 0.420 0.030>
12,4,408,0.000 0.045 0.363 0.000>
12,9,926,0.007 0.032 0.335 0.000>
12,14,674,0.000 0.043 0.435 0.000>
12,19,483,0.000 0.047 0.412 0.000>
12,20,209,0.000 0.030 0.373 0.000>
12,24,940,0.060 0.065 0.403 0.000>
12,29,839,0.000 0.175 0.535 0.000>
12,34,539,0.000 0.038 0.377 0.000>
12,39,292,0.000 0.000 0.350 0.000>
12,40,139,0.000 0.100 0.338 0.000>
12,44,902,0.000 0.047 0.360 0.000>
12,49,631,~
12,54,371,0.013 0.095 0.335 0.000>
12,59,249,0.002 0.013 0.393 0.000>
12,59,964,0.000 0.058 0.377 0.007>
13,4,671,0.000 0.023 0.403 0.025>
13,9,316,0.000 0.040 0.368 0.000>
13,10,132,0.047 0.015 0.387 0.013>
13,14,838,0.005 0.023 0.373 0.000>
13,19,438,0.000 0.030 0.360 0.000>
13,25,6,0.000 0.035 0.433 0.023>
13,29,786,0.000 0.023 0.368 0.000>
13,34,587,0.000 0.000 0.407 0.000>
13,39,450,0.000 0.000 0.375 0.000>
13,44,837,0.000 0.040 0.382 0.000>
13,49,531,0.000 0.027 0.373 0.000>
13,54,447,0.108 0.040 0.395 0.000>
13,55,186,0.010 0.032 0.368 0.002>
13,59,933,0.000 0.030 0.343 0.002>
14,4,745,0.000 0.027 0.333 0.010>
14,9,379,0.000 0.020 0.442 0.000>
14,10,200,0.052 0.027 0.387 0.005>
14,14,238,0.000 0.050 0.322 0.013>
14,15,74,0.000 0.055 0.290 0.000>
14,19,988,0.005 0.095 0.410 0.000>
14,24,704,0.000 0.027 0.377 0.000>
14,29,621,0.058 0.000 0.393 0.047>
14,34,553,0.015 0.015 0.373 0.000>
14,39,267,~
14,39,993,0.000 0.043 0.357 0.000>
14,44,757,0.000 0.018 0.380 0.000>
14,49,499,~
14,54,357,0.035 0.087 0.370 0.000>
14,55,200,0.000 0.115 0.350 0.000>
14,59,213,0.018 0.068 0.420 0.000>
15,0,23,0.013 0.000 0.407 0.000>
15,4,730,0.000 0.038 0.393 0.000>
15,9,503,0.030 0.102 0.445 0.000>
15,14,264,0.000 0.015 0.450 0.000>
15,14,978,0.000 0.045 0.377 0.000>
15,19,788,0.000 0.013 0.455 0.005>
15,24,694,0.000 0.078 0.565 0.075>
15,29,436,0.005 0.125 0.475 0.000>
15,34,292,0.025 0.027 0.385 0.000>
15,35,132,0.000 0.050 0.303 0.000>
15,39,874,~
15,44,693,0.093 0.105 0.488 0.000>
15,49,341,~
15,50,183,0.000 0.065 0.390 0.000>
15,54,274,0.115 0.055 0.352 0.000>
15,55,115,0.000 0.000 0.290 0.000>
15,59,213,0.018 0.025 0.355 0.000>
15,59,941,0.000 0.047 0.455 0.000>
16,4,835,0.052 0.055 0.350 0.000>
16,9,718,0.000 0.000 0.433 0.000>
16,14,564,0.038 0.030 0.400 0.000<0.000 0.000 0.400 0.000>
16,19,976,0.050 0.013 0.485 0.035>
16,24,745,0.000 0.035 0.385 0.000>
16,29,567,~
16,34,419,~
16,40,34,0.032 0.010 0.592 0.050>
16,44,925,0.000 0.032 0.415 0.000>
16,49,732,0.013 0.020 0.398 0.000>
16,54,514,0.000 0.000 0.435 0.000>
16,59,245,0.000 0.035 0.400 0.000>
16,59,961,0.000 0.027 0.400 0.000>
17,4,762,0.018 0.005 0.403 0.000>
17,9,485,0.000 0.032 0.385 0.000>
17,14,985,0.047 0.050 0.423 0.000>
17,19,786,0.000 0.055 0.373 0.000>
17,24,590,0.000 0.068 0.333 0.010>
