roll= -23.05048+-0.47554,pitch=4.18051+-1.08563,time=6.866816520690918, this frame took:4.60547399520874 seconds
roll= -23.92323+-0.60189,pitch=10.68849+-0.92879,time=11.037658452987671, this frame took:4.089113712310791 seconds
roll= -12.44418+-0.16579,pitch=14.28498+-1.07504,time=15.199142456054688, this frame took:4.0820629596710205 seconds
roll= -17.13295+-0.24061,pitch=15.11274+-1.0322,time=19.365983247756958, this frame took:4.0863635540008545 seconds
roll= -16.85152+-0.08529,pitch=12.52417+-1.17838,time=23.603264331817627, this frame took:4.158441066741943 seconds
roll= -26.31655+--0.22484,pitch=-3.7233+-1.0364,time=27.76679229736328, this frame took:4.081701993942261 seconds
roll= -26.92771+-0.36187,pitch=5.53901+-1.1336,time=31.9811007976532, this frame took:4.134689092636108 seconds
roll= 16.49627+-0.17454,pitch=0.84486+-1.64182,time=36.140894651412964, this frame took:4.077481746673584 seconds
roll= 26.9025+--0.15474,pitch=-0.55999+-1.03335,time=40.36695718765259, this frame took:4.145837306976318 seconds
roll= 3.3987+-0.54031,pitch=-7.89853+-1.26793,time=44.52230906486511, this frame took:4.073375940322876 seconds
roll= 3.77365+-0.64587,pitch=-5.79154+-1.21137,time=48.673622369766235, this frame took:4.070560932159424 seconds
roll= 11.70827+-0.90619,pitch=-2.66086+-1.13799,time=52.8959846496582, this frame took:4.129917621612549 seconds
roll= 19.601+-0.27985,pitch=5.64664+-0.65523,time=57.2673544883728, this frame took:4.287832736968994 seconds
roll= 0.0261+-0.2305,pitch=15.70076+-0.80424,time=61.436835289001465, this frame took:4.088423013687134 seconds
roll= 13.67169+--0.62819,pitch=16.96403+-1.20029,time=65.60349726676941, this frame took:4.0863330364227295 seconds
roll= 13.76084+--0.58586,pitch=16.19398+-1.20634,time=69.76283144950867, this frame took:4.077958106994629 seconds
roll= 9.99473+--0.40424,pitch=15.28627+-1.31678,time=73.94451022148132, this frame took:4.101893901824951 seconds
roll= 12.49476+--0.54951,pitch=15.80956+-1.25793,time=78.15725779533386, this frame took:4.132887125015259 seconds
roll= 10.55456+--0.3601,pitch=14.54909+-1.29875,time=82.31747579574585, this frame took:4.079793930053711 seconds
roll= 13.73481+--0.54746,pitch=15.64926+-1.26592,time=86.79665923118591, this frame took:4.397440195083618 seconds
roll= 11.65409+--0.39164,pitch=13.90696+-1.35587,time=90.97073817253113, this frame took:4.090970993041992 seconds
roll= 8.51775+--0.11351,pitch=-10.25052+-1.13792,time=95.1313784122467, this frame took:4.079835891723633 seconds
roll= -2.97496+--0.2166,pitch=-6.479+-1.2953,time=99.30188751220703, this frame took:4.091017007827759 seconds
roll= 1.3692+-0.07593,pitch=-9.23033+-1.16603,time=103.46073651313782, this frame took:4.079448938369751 seconds
